Id,District Name,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
2017S001163    ,Sant Martí,Saturday,February,11,15,Afternoon,1,0,1,2
2017S007277    ,Sant Martí,Thursday,August,31,7,Morning,2,0,2,3
2017S002245    ,Sant Martí,Monday,March,20,19,Afternoon,1,0,1,1
2017S009302    ,Sant Martí,Friday,November,10,11,Morning,1,0,1,1
2017S002101    ,Sant Martí,Wednesday,March,15,23,Night,1,0,1,1
2017S005169    ,Sant Martí,Tuesday,June,13,9,Morning,1,0,1,2
2017S006669    ,Sant Martí,Tuesday,August,1,19,Afternoon,1,0,1,2
2017S005643    ,Sant Martí,Wednesday,June,28,19,Afternoon,1,0,1,2
2017S000296    ,Sant Martí,Thursday,January,12,12,Morning,1,0,1,2
2017S000609    ,Sant Martí,Monday,January,23,16,Afternoon,1,0,1,2
2017S005444    ,Sant Martí,Wednesday,June,21,19,Afternoon,1,0,1,1
2017S007332    ,Sant Martí,Friday,September,1,18,Afternoon,0,0,0,1
2017S000726    ,Sant Martí,Friday,January,27,17,Afternoon,2,0,2,2
2017S001891    ,Sant Martí,Wednesday,March,8,10,Morning,1,0,1,2
2017S000532    ,Sant Martí,Friday,January,20,11,Morning,1,0,1,2
2017S006453    ,Sant Martí,Monday,July,24,15,Afternoon,1,0,1,2
2017S004345    ,Sant Martí,Tuesday,May,16,13,Morning,1,0,1,2
2017S000869    ,Sant Martí,Wednesday,February,1,18,Afternoon,1,0,1,2
2017S001562    ,Sant Martí,Saturday,February,25,8,Morning,1,0,1,2
2017S009772    ,Sant Martí,Friday,November,24,8,Morning,2,0,2,3
2017S007600    ,Sant Martí,Wednesday,September,13,23,Night,1,0,1,5
2017S000137    ,Sant Martí,Friday,January,6,22,Night,1,0,1,2
2017S008267    ,Sant Martí,Friday,October,6,20,Afternoon,1,0,1,2
2017S007951    ,Sant Martí,Tuesday,September,26,12,Morning,1,0,1,1
2017S006854    ,Sant Martí,Tuesday,August,8,23,Night,1,0,1,2
2017S006079    ,Sant Martí,Wednesday,July,12,17,Afternoon,1,0,1,1
2017S004641    ,Sant Martí,Friday,May,26,8,Morning,1,0,1,3
2017S003623    ,Sant Martí,Sunday,April,23,11,Morning,1,0,1,2
2017S008103    ,Sant Martí,Sunday,October,1,21,Afternoon,2,0,2,2
2017S003940    ,Sant Martí,Thursday,May,4,10,Morning,1,0,1,3
2017S006732    ,Sant Martí,Wednesday,August,2,11,Morning,1,0,1,2
2017S003914    ,Sant Martí,Wednesday,May,3,11,Morning,4,0,4,2
2017S001257    ,Sant Martí,Wednesday,February,15,1,Night,1,0,1,2
2017S010414    ,Sant Martí,Saturday,December,16,18,Afternoon,1,0,1,2
2017S003078    ,Sant Martí,Monday,April,3,19,Afternoon,0,0,0,1
2017S010707    ,Sant Martí,Wednesday,December,27,16,Afternoon,2,0,2,2
2017S009012    ,Sant Martí,Tuesday,October,31,19,Afternoon,1,0,1,2
2017S005997    ,Sant Martí,Monday,July,10,15,Afternoon,2,0,2,1
2017S005176    ,Sant Martí,Tuesday,June,13,14,Afternoon,1,0,1,3
2017S000123    ,Sant Martí,Thursday,January,5,17,Afternoon,2,0,2,2
2017S005072    ,Sant Martí,Friday,June,9,17,Afternoon,1,0,1,2
2017S007144    ,Sant Martí,Wednesday,August,23,20,Afternoon,1,0,1,1
2017S000944    ,Sant Martí,Friday,February,3,20,Afternoon,1,0,1,1
2017S000612    ,Sant Martí,Monday,January,23,18,Afternoon,1,0,1,3
2017S002424    ,Sant Martí,Sunday,March,26,6,Morning,1,0,1,1
2017S008874    ,Sant Martí,Thursday,October,26,21,Afternoon,1,0,1,2
2017S003235    ,Sant Martí,Friday,April,7,18,Afternoon,0,0,0,2
2017S006914    ,Sant Martí,Friday,August,11,15,Afternoon,1,0,1,2
2017S001120    ,Sant Martí,Friday,February,10,10,Morning,2,0,2,2
2017S004843    ,Sant Martí,Friday,June,2,6,Morning,1,0,1,1
2017S002075    ,Sant Martí,Wednesday,March,15,8,Morning,2,0,2,1
2017S008856    ,Sant Martí,Thursday,October,26,8,Morning,1,0,1,1
2017S004209    ,Sant Martí,Friday,May,12,0,Night,2,0,2,2
2017S008566    ,Sant Martí,Wednesday,October,18,9,Morning,3,0,3,2
2017S002006    ,Sant Martí,Sunday,March,12,4,Night,1,0,1,1
2017S004941    ,Sant Martí,Tuesday,June,6,9,Morning,1,0,1,2
2017S002347    ,Sant Martí,Thursday,March,23,19,Afternoon,1,0,1,2
2017S010097    ,Sant Martí,Sunday,December,3,13,Morning,1,0,1,2
2017S000122    ,Sant Martí,Thursday,January,5,19,Afternoon,0,0,0,1
2017S003738    ,Sant Martí,Thursday,April,27,10,Morning,1,0,1,2
2017S007503    ,Sant Martí,Saturday,September,9,15,Afternoon,2,0,2,2
2017S001061    ,Sant Martí,Wednesday,February,8,17,Afternoon,0,0,0,3
2017S007904    ,Sant Martí,Sunday,September,24,9,Morning,1,0,1,4
2017S010082    ,Sant Martí,Saturday,December,2,13,Morning,0,0,0,1
2017S004702    ,Sant Martí,Sunday,May,28,8,Morning,2,0,2,2
2017S008946    ,Sant Martí,Sunday,October,29,17,Afternoon,1,0,1,1
2017S006672    ,Sant Martí,Tuesday,August,1,21,Afternoon,1,0,1,2
2017S005878    ,Sant Martí,Wednesday,July,5,16,Afternoon,0,0,0,2
2017S009684    ,Sant Martí,Tuesday,November,21,22,Night,1,0,1,2
2017S001113    ,Sant Martí,Friday,February,10,9,Morning,1,0,1,1
2017S003816    ,Sant Martí,Saturday,April,29,14,Afternoon,1,0,1,2
2017S005995    ,Sant Martí,Monday,July,10,14,Afternoon,1,0,1,1
2017S000591    ,Sant Martí,Sunday,January,22,19,Afternoon,1,0,1,1
2017S001862    ,Sant Martí,Tuesday,March,7,9,Morning,1,0,1,2
2017S003392    ,Sant Martí,Friday,April,14,11,Morning,1,0,1,2
2017S007682    ,Sant Martí,Saturday,September,16,22,Night,1,0,1,2
2017S004402    ,Sant Martí,Thursday,May,18,10,Morning,1,0,1,2
2017S001437    ,Sant Martí,Tuesday,February,21,8,Morning,1,0,1,1
2017S009997    ,Sant Martí,Thursday,November,30,19,Afternoon,2,0,2,2
2017S004372    ,Sant Martí,Wednesday,May,17,9,Morning,1,0,1,1
2017S004224    ,Sant Martí,Friday,May,12,12,Morning,0,0,0,2
2017S003904    ,Sant Martí,Wednesday,May,3,7,Morning,1,0,1,1
2017S005550    ,Sant Martí,Sunday,June,25,20,Afternoon,3,0,3,4
2017S003533    ,Sant Martí,Thursday,April,20,17,Afternoon,1,0,1,1
2017S007185    ,Sant Martí,Saturday,August,26,9,Morning,0,0,0,1
2017S003838    ,Sant Martí,Sunday,April,30,11,Morning,2,0,2,3
2017S008465    ,Sant Martí,Saturday,October,14,18,Afternoon,2,0,2,2
2017S003629    ,Sant Martí,Sunday,April,23,15,Afternoon,5,0,5,5
2017S004526    ,Sant Martí,Monday,May,22,9,Morning,1,0,1,2
2017S002436    ,Sant Martí,Monday,March,27,8,Morning,1,0,1,2
2017S003016    ,Sant Martí,Saturday,April,1,18,Afternoon,1,0,1,2
2017S003290    ,Sant Martí,Monday,April,10,15,Afternoon,2,0,2,2
2017S004342    ,Sant Martí,Tuesday,May,16,12,Morning,1,0,1,2
2017S006013    ,Sant Martí,Tuesday,July,11,9,Morning,1,0,1,1
2017S000456    ,Sant Martí,Tuesday,January,17,14,Afternoon,1,0,1,2
2017S007632    ,Sant Martí,Friday,September,15,9,Morning,1,0,1,2
2017S005194    ,Sant Martí,Tuesday,June,13,21,Afternoon,1,0,1,2
2017S009929    ,Sant Martí,Tuesday,November,28,18,Afternoon,1,0,1,2
2017S010245    ,Sant Martí,Monday,December,11,10,Morning,1,0,1,2
2017S005770    ,Sant Martí,Monday,July,3,16,Afternoon,1,0,1,2
2017S007662    ,Sant Martí,Friday,September,15,23,Night,0,0,0,1
2017S010115    ,Sant Martí,Monday,December,4,14,Afternoon,1,0,1,2
2017S008757    ,Sant Martí,Sunday,October,22,15,Afternoon,1,0,1,2
2017S008323    ,Sant Martí,Saturday,July,15,13,Morning,2,0,2,2
2017S007902    ,Sant Martí,Sunday,September,24,4,Night,1,0,1,1
2017S010551    ,Sant Martí,Thursday,December,21,2,Night,2,0,2,1
2017S005323    ,Sant Martí,Saturday,June,17,22,Night,2,0,2,2
2017S006639    ,Sant Martí,Monday,July,31,8,Morning,1,0,1,2
2017S006839    ,Sant Martí,Tuesday,August,8,13,Morning,2,0,2,1
2017S008561    ,Sant Martí,Wednesday,October,18,7,Morning,0,0,0,2
2017S009139    ,Sant Martí,Saturday,November,4,20,Afternoon,3,0,3,2
2017S004670    ,Sant Martí,Friday,May,26,21,Afternoon,2,0,2,2
2017S005668    ,Sant Martí,Thursday,June,29,19,Afternoon,1,0,1,2
2017S008675    ,Sant Martí,Friday,October,20,17,Afternoon,1,0,1,2
2017S010420    ,Sant Martí,Saturday,December,16,19,Afternoon,1,0,1,2
2017S002461    ,Sant Martí,Tuesday,March,28,7,Morning,1,0,1,2
2017S009070    ,Sant Martí,Friday,November,3,7,Morning,1,0,1,2
2017S006098    ,Sant Martí,Thursday,July,13,12,Morning,1,0,1,2
2017S004792    ,Sant Martí,Wednesday,May,31,13,Morning,2,0,2,2
2017S002477    ,Sant Martí,Tuesday,March,28,15,Afternoon,1,0,1,2
2017S000327    ,Sant Martí,Friday,January,13,14,Afternoon,3,0,3,4
2017S001205    ,Sant Martí,Monday,February,13,18,Afternoon,1,0,1,2
2017S001333    ,Sant Martí,Friday,February,17,14,Afternoon,4,0,4,4
2017S007492    ,Sant Martí,Saturday,September,9,0,Night,1,0,1,2
2017S005303    ,Sant Martí,Saturday,June,17,20,Afternoon,1,0,1,2
2017S000604    ,Sant Martí,Monday,January,23,10,Morning,1,0,1,2
2017S000982    ,Sant Martí,Monday,February,6,7,Morning,1,0,1,2
2017S004394    ,Ciutat Vella,Thursday,May,18,0,Night,3,0,3,2
2017S009532    ,Ciutat Vella,Thursday,November,16,20,Afternoon,1,0,1,1
2017S005486    ,Ciutat Vella,Friday,June,23,1,Night,1,0,1,1
2017S005824    ,Ciutat Vella,Tuesday,July,4,19,Afternoon,1,0,1,1
2017S003530    ,Ciutat Vella,Thursday,April,20,16,Afternoon,0,0,0,2
2017S010224    ,Ciutat Vella,Sunday,December,10,0,Night,1,0,1,2
2017S004690    ,Ciutat Vella,Saturday,May,27,15,Afternoon,1,0,1,1
2017S008950    ,Ciutat Vella,Sunday,October,29,21,Afternoon,0,0,0,1
2017S006138    ,Sant Martí,Friday,July,14,10,Morning,1,0,1,2
2017S006412    ,Sant Martí,Saturday,July,22,17,Afternoon,1,0,1,1
2017S010159    ,Sant Martí,Tuesday,December,5,16,Afternoon,1,0,1,1
2017S009541    ,Sant Martí,Friday,November,17,1,Night,0,0,0,1
2017S004456    ,Sant Martí,Friday,May,19,21,Afternoon,2,0,2,2
2017S006063    ,Sant Martí,Wednesday,July,12,8,Morning,1,0,1,2
2017S007315    ,Sant Martí,Friday,September,1,14,Afternoon,1,0,1,1
2017S010684    ,Sant Martí,Wednesday,December,27,4,Night,1,0,1,5
2017S005596    ,Sant Martí,Monday,June,26,23,Night,1,0,1,2
2017S008470    ,Sant Martí,Saturday,October,14,13,Morning,0,0,0,6
2017S000738    ,Sant Martí,Saturday,January,28,2,Night,0,0,0,2
2017S009081    ,Ciutat Vella,Friday,November,3,13,Morning,0,0,0,1
2017S001635    ,Ciutat Vella,Tuesday,February,28,7,Morning,3,0,3,3
2017S004087    ,Ciutat Vella,Monday,May,8,21,Afternoon,1,0,1,2
2017S010405    ,Ciutat Vella,Saturday,December,16,18,Afternoon,1,0,1,2
2017S003383    ,Ciutat Vella,Thursday,April,13,21,Afternoon,1,0,1,2
2017S009528    ,Ciutat Vella,Thursday,November,16,18,Afternoon,1,0,1,1
2017S008609    ,Ciutat Vella,Thursday,October,19,17,Afternoon,1,0,1,2
2017S010397    ,Ciutat Vella,Saturday,December,16,10,Morning,1,0,1,2
2017S007088    ,Ciutat Vella,Sunday,August,20,7,Morning,1,0,1,1
2017S006752    ,Ciutat Vella,Friday,August,4,10,Morning,0,0,0,1
2017S005434    ,Ciutat Vella,Wednesday,June,21,11,Morning,0,0,0,1
2017S000795    ,Ciutat Vella,Monday,January,30,11,Morning,1,0,1,1
2017S003242    ,Ciutat Vella,Saturday,April,8,3,Night,0,0,0,1
2017S008456    ,Ciutat Vella,Saturday,October,14,9,Morning,2,0,2,1
2017S009001    ,Ciutat Vella,Tuesday,October,31,14,Afternoon,1,0,1,1
2017S006961    ,Ciutat Vella,Sunday,August,13,16,Afternoon,1,0,1,2
2017S003212    ,Ciutat Vella,Wednesday,April,5,20,Afternoon,2,0,2,1
2017S001328    ,Ciutat Vella,Friday,February,17,12,Morning,1,0,1,2
2017S005739    ,Ciutat Vella,Sunday,July,2,12,Morning,1,0,1,1
2017S000459    ,Ciutat Vella,Tuesday,January,17,16,Afternoon,1,0,1,1
2017S006949    ,Ciutat Vella,Sunday,August,13,0,Night,1,0,1,1
2017S004227    ,Ciutat Vella,Friday,May,12,14,Afternoon,0,0,0,1
2017S001390    ,Ciutat Vella,Sunday,February,19,16,Afternoon,1,0,1,1
2017S008718    ,Ciutat Vella,Saturday,October,21,20,Afternoon,2,0,2,1
2017S003375    ,Ciutat Vella,Thursday,April,13,18,Afternoon,1,0,1,2
2017S007932    ,Ciutat Vella,Monday,September,25,19,Afternoon,1,0,1,3
2017S007604    ,Ciutat Vella,Thursday,September,14,12,Morning,3,0,3,1
2017S004166    ,Ciutat Vella,Wednesday,May,10,18,Afternoon,1,0,1,2
2017S010744    ,Ciutat Vella,Friday,December,29,8,Morning,1,0,1,2
2017S004266    ,Ciutat Vella,Saturday,May,13,17,Afternoon,2,0,2,2
2017S001054    ,Ciutat Vella,Wednesday,February,8,16,Afternoon,1,0,1,5
2017S008486    ,Ciutat Vella,Sunday,October,15,18,Afternoon,1,0,1,2
2017S004804    ,Ciutat Vella,Wednesday,May,31,22,Night,0,1,1,2
2017S003350    ,Ciutat Vella,Wednesday,April,12,19,Afternoon,0,0,0,2
2017S000851    ,Ciutat Vella,Wednesday,February,1,10,Morning,1,0,1,2
2017S008971    ,Ciutat Vella,Monday,October,30,15,Afternoon,1,0,1,2
2017S005223    ,Ciutat Vella,Wednesday,June,14,21,Afternoon,2,0,2,1
2017S008716    ,Ciutat Vella,Saturday,October,21,17,Afternoon,1,0,1,2
2017S004623    ,Ciutat Vella,Thursday,May,25,16,Afternoon,1,0,1,1
2017S006026    ,Ciutat Vella,Tuesday,July,11,16,Afternoon,2,0,2,1
2017S010256    ,Ciutat Vella,Monday,December,11,13,Morning,1,0,1,2
2017S000606    ,Ciutat Vella,Monday,January,23,15,Afternoon,1,0,1,1
2017S002095    ,Ciutat Vella,Wednesday,March,15,20,Afternoon,3,0,3,2
2017S006906    ,Ciutat Vella,Thursday,August,10,22,Night,1,0,1,2
2017S010538    ,Ciutat Vella,Wednesday,December,20,16,Afternoon,2,0,2,2
2017S005721    ,Ciutat Vella,Friday,June,30,17,Afternoon,1,0,1,2
2017S003638    ,Ciutat Vella,Monday,April,24,7,Morning,1,0,1,2
2017S008440    ,Ciutat Vella,Friday,October,13,17,Afternoon,0,0,0,1
2017S001444    ,Ciutat Vella,Monday,February,20,22,Night,1,0,1,1
2017S000764    ,Ciutat Vella,Sunday,January,29,10,Morning,1,0,1,2
2017S002106    ,Ciutat Vella,Thursday,March,16,5,Night,1,0,1,1
2017S008850    ,Ciutat Vella,Wednesday,October,25,23,Night,1,0,1,2
2017S005532    ,Ciutat Vella,Sunday,June,25,18,Afternoon,2,0,2,1
2017S005717    ,Ciutat Vella,Friday,June,30,17,Afternoon,1,0,1,2
2017S004877    ,Ciutat Vella,Friday,June,2,18,Afternoon,1,0,1,2
2017S008446    ,Ciutat Vella,Friday,October,13,20,Afternoon,2,0,2,2
2017S008482    ,Ciutat Vella,Sunday,October,15,12,Morning,0,0,0,2
2017S003370    ,Ciutat Vella,Thursday,April,13,16,Afternoon,3,0,3,1
2017S004245    ,Ciutat Vella,Friday,May,12,19,Afternoon,1,0,1,1
2017S003801    ,Ciutat Vella,Friday,April,28,21,Afternoon,1,0,1,2
2017S007110    ,Ciutat Vella,Tuesday,August,22,16,Afternoon,1,0,1,1
2017S010633    ,Ciutat Vella,Sunday,December,24,14,Afternoon,1,0,1,2
2017S005097    ,Eixample,Saturday,June,10,16,Afternoon,1,0,1,2
2017S000993    ,Ciutat Vella,Monday,February,6,12,Morning,0,0,0,1
2017S006259    ,Ciutat Vella,Tuesday,July,18,11,Morning,1,0,1,1
2017S009475    ,Eixample,Wednesday,November,15,17,Afternoon,1,0,1,2
2017S005023    ,Ciutat Vella,Thursday,June,8,16,Afternoon,1,0,1,2
2017S001793    ,Eixample,Saturday,March,4,19,Afternoon,1,0,1,2
2017S007234    ,Eixample,Tuesday,August,29,17,Afternoon,2,0,2,2
2017S002206    ,Eixample,Sunday,March,19,11,Morning,1,0,1,2
2017S006779    ,Eixample,Saturday,August,5,11,Morning,1,0,1,2
2017S003387    ,Ciutat Vella,Thursday,April,13,22,Night,1,0,1,2
2017S000718    ,Ciutat Vella,Friday,January,27,11,Morning,2,0,2,2
2017S003566    ,Eixample,Friday,April,21,14,Afternoon,1,0,1,2
2017S007209    ,Eixample,Monday,August,28,7,Morning,0,0,0,5
2017S010000    ,Eixample,Thursday,November,30,19,Afternoon,3,0,3,4
2017S008905    ,Eixample,Friday,October,27,16,Afternoon,2,0,2,2
2017S005752    ,Eixample,Monday,July,3,4,Night,0,0,0,1
2017S003931    ,Eixample,Wednesday,May,3,19,Afternoon,0,0,0,2
2017S005140    ,Eixample,Monday,June,12,12,Morning,0,0,0,3
2017S010492    ,Eixample,Tuesday,December,19,12,Morning,1,0,1,3
2017S004160    ,Eixample,Wednesday,May,10,14,Afternoon,1,0,1,2
2017S001020    ,Eixample,Tuesday,February,7,14,Afternoon,1,0,1,2
2017S002446    ,Eixample,Monday,March,27,14,Afternoon,1,0,1,2
2017S000205    ,Eixample,Monday,January,9,22,Night,1,0,1,2
2017S007525    ,Eixample,Sunday,September,10,20,Afternoon,1,0,1,2
2017S002512    ,Eixample,Wednesday,March,29,11,Morning,2,0,2,2
2017S001018    ,Eixample,Tuesday,February,7,13,Morning,1,0,1,1
2017S006939    ,Eixample,Saturday,August,12,13,Morning,1,0,1,2
2017S009025    ,Eixample,Wednesday,November,1,8,Morning,1,0,1,2
2017S008956    ,Eixample,Monday,October,30,8,Morning,1,0,1,2
2017S001829    ,Eixample,Monday,March,6,9,Morning,1,0,1,2
2017S006292    ,Eixample,Tuesday,July,18,23,Night,1,0,1,2
2017S010591    ,Eixample,Friday,December,22,6,Morning,0,0,0,2
2017S002544    ,Eixample,Thursday,March,30,13,Morning,1,0,1,2
2017S006310    ,Eixample,Wednesday,July,19,17,Afternoon,1,0,1,1
2017S010193    ,Eixample,Thursday,December,7,13,Morning,1,0,1,2
2017S009343    ,Eixample,Friday,November,10,20,Afternoon,1,0,1,2
2017S003804    ,Eixample,Friday,April,28,22,Night,1,0,1,2
2017S001088    ,Eixample,Thursday,February,9,9,Morning,1,0,1,2
2017S002040    ,Eixample,Saturday,March,11,5,Night,1,0,1,2
2017S002208    ,Eixample,Sunday,March,19,12,Morning,1,0,1,1
2017S001117    ,Eixample,Friday,February,10,11,Morning,1,0,1,2
2017S005803    ,Eixample,Tuesday,July,4,11,Morning,1,0,1,2
2017S006180    ,Eixample,Saturday,July,15,19,Afternoon,1,0,1,2
2017S005492    ,Eixample,Friday,June,23,10,Morning,1,0,1,2
2017S000584    ,Eixample,Sunday,January,22,2,Night,1,0,1,2
2017S006257    ,Eixample,Tuesday,July,18,10,Morning,2,0,2,1
2017S004306    ,Eixample,Monday,May,15,9,Morning,1,0,1,1
2017S009867    ,Eixample,Monday,November,27,10,Morning,2,0,2,2
2017S003481    ,Eixample,Wednesday,April,19,10,Morning,1,0,1,2
2017S001344    ,Eixample,Friday,February,17,18,Afternoon,1,0,1,1
2017S007747    ,Eixample,Tuesday,September,19,13,Morning,2,0,2,1
2017S006016    ,Eixample,Tuesday,July,11,11,Morning,1,0,1,2
2017S005109    ,Eixample,Saturday,June,10,20,Afternoon,1,0,1,2
2017S009172    ,Eixample,Monday,November,6,19,Afternoon,1,0,1,1
2017S003949    ,Eixample,Thursday,May,4,11,Morning,1,0,1,2
2017S004732    ,Eixample,Monday,May,29,18,Afternoon,1,0,1,2
2017S005384    ,Eixample,Monday,June,19,18,Afternoon,1,0,1,2
2017S007547    ,Eixample,Tuesday,September,12,9,Morning,2,0,2,3
2017S008711    ,Eixample,Saturday,October,21,14,Afternoon,2,0,2,3
2017S003131    ,Eixample,Wednesday,April,5,8,Morning,1,0,1,2
2017S009754    ,Eixample,Thursday,November,23,19,Afternoon,1,0,1,2
2017S009727    ,Eixample,Wednesday,November,22,19,Afternoon,1,0,1,2
2017S007135    ,Eixample,Wednesday,August,23,10,Morning,1,0,1,1
2017S003080    ,Eixample,Monday,April,3,18,Afternoon,0,0,0,2
2017S007733    ,Eixample,Monday,September,18,23,Night,1,0,1,1
2017S007239    ,Eixample,Tuesday,August,29,21,Afternoon,1,0,1,2
2017S009133    ,Eixample,Sunday,November,5,0,Night,0,1,1,1
2017S004655    ,Eixample,Friday,May,26,15,Afternoon,1,0,1,2
2017S004538    ,Eixample,Monday,May,22,19,Afternoon,1,0,1,2
2017S004916    ,Eixample,Sunday,June,4,18,Afternoon,1,0,1,2
2017S006574    ,Eixample,Friday,July,28,15,Afternoon,1,0,1,2
2017S006195    ,Eixample,Sunday,July,16,7,Morning,2,0,2,1
2017S008472    ,Eixample,Saturday,October,14,22,Night,1,0,1,2
2017S010311    ,Eixample,Wednesday,December,13,15,Afternoon,1,0,1,2
2017S005451    ,Eixample,Wednesday,June,21,13,Morning,1,0,1,2
2017S003423    ,Eixample,Saturday,April,15,15,Afternoon,1,0,1,3
2017S005696    ,Eixample,Friday,June,30,8,Morning,1,0,1,2
2017S010566    ,Eixample,Thursday,December,21,16,Afternoon,1,0,1,2
2017S001103    ,Eixample,Thursday,February,9,18,Afternoon,1,0,1,2
2017S005603    ,Eixample,Tuesday,June,27,14,Afternoon,1,0,1,2
2017S008266    ,Eixample,Friday,October,6,22,Night,1,0,1,2
2017S000008    ,Eixample,Sunday,January,1,10,Morning,2,0,2,2
2017S000046    ,Eixample,Tuesday,January,3,9,Morning,1,0,1,2
2017S000469    ,Eixample,Tuesday,January,17,16,Afternoon,1,0,1,1
2017S000482    ,Eixample,Wednesday,January,18,10,Morning,1,0,1,2
2017S003291    ,Eixample,Monday,April,10,14,Afternoon,1,0,1,2
2017S003137    ,Eixample,Wednesday,April,5,8,Morning,1,0,1,2
2017S006502    ,Eixample,Tuesday,July,25,20,Afternoon,2,0,2,2
2017S000114    ,Eixample,Thursday,January,5,15,Afternoon,1,0,1,2
2017S000965    ,Eixample,Sunday,February,5,3,Night,1,0,1,2
2017S009842    ,Eixample,Sunday,November,26,8,Morning,1,0,1,1
2017S007351    ,Eixample,Saturday,September,2,17,Afternoon,2,0,2,2
2017S007236    ,Eixample,Tuesday,August,29,20,Afternoon,1,0,1,2
2017S001735    ,Eixample,Thursday,March,2,16,Afternoon,1,0,1,2
2017S005640    ,Eixample,Wednesday,June,28,20,Afternoon,1,0,1,2
2017S004444    ,Eixample,Friday,May,19,18,Afternoon,1,0,1,2
2017S009769    ,Eixample,Friday,November,24,9,Morning,2,0,2,2
2017S009732    ,Eixample,Thursday,November,23,7,Morning,1,0,1,2
2017S006781    ,Eixample,Saturday,August,5,13,Morning,1,0,1,2
2017S003107    ,Eixample,Tuesday,April,4,12,Morning,1,0,1,2
2017S000508    ,Eixample,Thursday,January,19,10,Morning,1,0,1,4
2017S005620    ,Eixample,Wednesday,June,28,8,Morning,1,0,1,2
2017S009915    ,Eixample,Tuesday,November,28,14,Afternoon,1,0,1,2
2017S000033    ,Eixample,Monday,January,2,17,Afternoon,1,0,1,2
2017S000973    ,Eixample,Sunday,February,5,16,Afternoon,2,0,2,2
2017S009978    ,Eixample,Thursday,November,30,11,Morning,2,0,2,2
2017S001308    ,Eixample,Thursday,February,16,19,Afternoon,1,0,1,2
2017S007562    ,Eixample,Tuesday,September,12,16,Afternoon,1,0,1,2
2017S008569    ,Eixample,Wednesday,October,18,10,Morning,1,0,1,2
2017S001930    ,Eixample,Thursday,March,9,14,Afternoon,1,0,1,2
2017S010310    ,Eixample,Wednesday,December,13,14,Afternoon,1,0,1,2
2017S008736    ,Eixample,Sunday,October,22,13,Morning,4,0,4,2
2017S003012    ,Eixample,Saturday,April,1,15,Afternoon,1,0,1,2
2017S008998    ,Eixample,Tuesday,October,31,14,Afternoon,1,0,1,2
2017S002142    ,Eixample,Friday,March,17,8,Morning,1,0,1,2
2017S003425    ,Eixample,Saturday,April,15,19,Afternoon,1,0,1,2
2017S009120    ,Eixample,Saturday,November,4,17,Afternoon,1,0,1,2
2017S009337    ,Eixample,Saturday,November,11,0,Night,1,0,1,2
2017S000013    ,Eixample,Sunday,January,1,15,Afternoon,1,0,1,1
2017S005433    ,Eixample,Wednesday,June,21,10,Morning,1,0,1,2
2017S010416    ,Eixample,Saturday,December,16,22,Night,1,0,1,2
2017S008587    ,Eixample,Wednesday,October,18,14,Afternoon,1,0,1,2
